ip_address,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,ipvoid_detection_count,risk_recommended_pulsedive,virustotal_reputation,virustotal_malicious,virustotal_suspicious,virustotal_undetected,virustotal_harmless
34.29.120.92,100,6643,958,16,none,-7,9,4,29,52
64.62.197.7,100,2628,164,9,none,-1,8,3,29,54
183.134.217.20,100,623,56,10,medium,0,10,3,28,53
143.110.182.33,100,1892,139,11,low,-2,13,3,26,52
47.251.63.50,100,2028,89,6,low,-1,4,3,29,58
40.83.133.206,100,857,134,9,none,0,4,2,28,60
218.92.0.169,100,5718,91,9,low,0,16,2,25,51
35192179181,100,9973,56,5,none,0,5,3,30,56
121186155211,100,1078,177,15,low,-5,11,4,27,52
119.68.230.82,100,44,31,5,low,0,8,3,28,55
198.12.229.101,100,4066,846,13,none,-5,13,3,28,50
218.78.51.90,100,2802,781,9,none,-4,7,5,28,54
103.102.230.6,100,28057,122,6,medium,-1,10,4,26,54
80.82.70.133,100,17494,301,16,low,-5,11,2,28,53
100.29.192.57,100,1161,73,7,none,0,3,3,29,59
141.98.11.35,100,4939,265,12,high,-1,15,2,26,51
172.214.115.32,100,695,111,10,none,0,6,2,27,59
31.7.70.8,100,6729,933,13,medium,-7,14,3,27,50
35.246.248.48,100,2286,708,10,low,-4,9,4,27,54
154.221.21.234,100,6303,926,12,medium,-4,13,3,27,51
104.131.35.225,100,1115,455,6,low,-1,10,4,25,55
218.29.196.162,100,1009,151,15,none,-4,13,2,29,50
61.80.237.194,100,4730,891,9,low,-5,9,5,27,53
46.161.196.5,100,1215,209,13,critical,-2,12,3,25,54
185.242.226.30,100,983,73,5,medium,-1,7,5,28,54
134.209.176.25,100,2204,619,17,low,-3,13,4,26,51
45.148.10.86,100,601,261,10,medium,0,13,2,28,51
2.57.122.32,100,7338,731,21,medium,-4,17,2,26,49
175.120.229.31,100,1092,442,11,low,-1,12,3,26,53
38.46.220.87,100,2953,217,10,medium,-1,13,3,26,52
125.72.194.250,100,507,249,6,medium,-1,9,3,28,54
111.67.195.146,100,593,313,5,low,-1,10,4,27,53
100.29.192.22,100,1245,73,8,none,0,4,3,29,58
123.59.50.202,100,4883,882,11,low,-5,12,4,26,52
89248167131,100,7781,321,13,low,-24,18,1,29,46
192.42.116.216,100,1171,122,14,low,-6,15,4,27,48
157.245.146.86,100,3897,848,11,low,-4,11,3,27,53
141.98.11.155,100,2691,189,16,medium,-1,12,2,27,53
101.36.111.125,100,493,255,6,low,-2,11,3,27,53
45.33.52.85,100,2505,115,8,none,-1,7,3,30,54
206.168.34.134,100,8846,80,9,low,0,9,3,27,55
27.112.79.10,100,4890,944,10,low,-4,12,4,27,51
36.134.96.76,100,2220,691,10,low,-3,12,3,29,50
60255240205,100,2603,80,7,low,-2,6,5,29,54
167.172.95.189,100,2154,493,15,low,-1,14,3,26,51
93.174.95.106,100,10045,361,23,low,-79,17,1,27,49
39.108.17.168,100,437,80,6,low,0,11,3,27,53
61.132.96.34,100,917,173,7,low,-1,10,4,27,53
218.92.0.162,100,2412,67,8,low,0,15,2,25,52
206.168.34.209,100,1629,260,11,low,0,11,2,28,53
2.57.122.195,100,5029,169,16,medium,-1,11,2,27,54
87120117186,100,405,70,7,medium,0,6,3,29,56
180.76.61.17,100,2130,656,10,low,-3,9,5,27,53
115.231.78.11,100,11955,227,14,medium,-2,18,3,26,47
51.75.20.198,100,7404,964,14,none,-5,12,4,27,51
80.233.77.136,100,887,189,14,medium,-4,13,3,27,51
14103165154,100,2828,806,17,low,-4,16,4,26,48
193.41.206.142,100,26910,106,6,medium,-3,9,4,27,54
184.105.139.69,100,968,246,14,none,37,12,4,26,52
162.0.213.193,100,501,102,7,none,-2,11,4,27,52
80.75.212.9,100,30319,283,10,medium,-4,13,3,27,51
92.118.39.83,100,3504,51,8,medium,-7,12,2,26,54
115.22.247.178,100,1817,210,16,low,-6,13,3,28,50
106.241.54.211,100,1541,524,12,low,-15,12,4,28,50
47.236.77.81,100,173,46,4,low,0,9,3,28,54
198100138225,100,380,134,13,critical,0,9,2,28,55
103.74.121.169,100,568,123,6,low,-1,4,2,27,61
95.214.27.33,100,10793,117,9,low,0,15,2,26,51
198.91.200.139,100,1131,164,14,low,-3,11,3,27,53
185.91.127.43,100,16416,263,9,medium,-2,13,3,27,51
123.108.227.18,100,4289,884,8,medium,-4,10,4,28,52
45.33.105.76,100,2490,113,8,none,-2,8,4,29,53
185.220.101.12,100,175,55,14,critical,-15,15,6,25,48
95.214.55.43,100,21469,254,13,medium,-5,12,2,28,52
117.50.67.183,100,3886,822,11,low,-5,13,3,28,50
197231177167,100,162,69,9,medium,0,6,3,28,57
175117144158,100,1068,172,14,low,-3,11,4,28,51
79.110.62.93,100,8372,669,22,medium,-4,15,2,26,51
175.116.85.203,100,1449,234,15,low,-4,8,5,28,53
137.27.32.70,100,824,158,15,none,-3,12,4,28,50
36.40.84.216,100,758,371,8,medium,-2,10,4,26,54
103.86.49.28,100,3978,816,7,low,-16,14,3,27,50
154.213.184.14,100,15883,212,9,medium,-4,12,2,27,53
192.210.186.38,100,237,125,9,low,0,10,4,27,53
64.62.197.14,100,2577,162,10,none,-1,9,3,29,53
124114149106,100,1019,187,15,low,-5,10,3,28,53
120.24.181.61,100,893,37,8,low,-1,11,4,26,53
49.124.153.29,100,188,65,6,medium,-1,4,3,29,58
120.197.180.35,100,132,52,9,low,0,7,3,28,56
49124152235,100,216,65,8,medium,0,5,3,29,57
172169111113,100,718,117,9,none,0,5,3,29,57
103.149.27.228,100,5471,896,10,low,-5,13,4,27,50
117.50.137.84,100,3107,798,11,low,-5,13,3,27,51
1235192131,100,1282,220,19,critical,-5,11,5,27,51
27.40.100.204,100,188,79,9,none,0,11,1,29,53
170.64.167.72,100,4134,160,14,low,-2,10,3,27,54
64.62.197.27,100,2770,171,12,none,-3,11,3,28,52
218.92.0.136,100,7380,44,10,low,-1,16,2,25,51
206189224203,100,1709,614,10,low,-3,11,4,25,54
219.76.188.180,100,522,151,15,none,-5,13,3,28,50
116105210211,100,216,156,10,low,0,7,5,27,55
157.245.58.108,100,4656,858,11,low,-4,12,3,27,52
172.202.177.49,100,831,147,9,none,0,8,3,28,55
167.71.69.173,100,270,62,12,none,-1,9,3,29,53
47.95.39.144,100,113,40,7,low,-1,5,4,30,55
60.49.103.61,100,735,298,8,low,-2,9,3,27,55
197.199.224.52,100,7006,947,12,low,-6,14,3,27,50
197.199.224.52,100,7112,947,12,low,-6,14,3,27,50
14103170144,100,1218,499,9,low,-3,9,6,26,53
100.29.192.11,100,1173,73,6,none,0,6,3,27,58
38147184180,100,586,267,4,medium,-1,10,4,26,54
176.222.190.70,100,1196,180,13,low,-3,11,3,27,53
186.96.166.237,100,6807,951,14,none,-5,14,3,26,51
165.73.201.80,100,552,269,8,medium,-1,10,3,27,54
185234216164,100,6311,103,10,medium,-1,13,2,27,52
8.213.197.49,100,2509,712,10,low,-5,13,4,26,51
206.168.34.140,100,8886,82,9,low,0,10,3,27,54
47.251.85.120,100,2039,83,6,low,0,9,3,28,54
170.64.166.144,100,1967,121,9,low,-55,11,3,27,53
81.130.174.76,100,1203,207,13,low,-1,12,5,26,51
119.246.15.94,100,7597,953,12,low,-6,12,4,28,50
178.128.44.158,100,142,37,8,low,0,11,4,26,53
51.15.225.134,100,877,368,5,none,-2,13,3,27,51
218.92.0.215,100,10919,230,15,low,-5,20,2,25,47
218.92.0.175,100,4546,114,11,low,-18,14,2,26,52
176213141182,100,5465,922,12,none,-5,11,4,28,51
202157186116,100,6405,932,10,medium,-4,11,5,26,52
103.102.230.3,100,26432,104,6,medium,-1,9,4,27,54
91.203.177.71,100,3352,756,11,low,-4,11,4,26,53
8.221.139.48,100,3857,279,16,low,-1,11,3,26,54
180.96.69.221,100,2323,722,9,medium,-3,9,4,27,54
187.210.77.100,100,6782,920,7,none,-5,15,3,27,49
64.226.79.183,100,2410,206,12,none,-54,11,4,27,52
172.206.141.32,100,827,155,8,none,-1,6,2,28,58
52.73.169.169,100,1926,62,6,none,0,6,4,27,57
54235191179,92,199,28,4,low,0,3,4,28,59
95.214.27.47,100,968,22,8,medium,0,8,2,29,55
125.124.45.246,100,880,379,5,medium,-1,11,3,26,54
154213186163,100,9953,83,8,medium,0,11,1,29,53
125.124.27.170,100,786,404,11,medium,-1,13,3,26,52
60.169.120.17,100,723,150,13,low,-2,13,3,27,51
157230105229,100,7717,994,11,low,-5,9,4,28,53
185191126248,100,19053,499,15,medium,-6,13,2,28,51
121202195103,100,1208,210,15,low,-3,11,4,28,51
96.67.59.65,100,17664,1016,16,none,-7,17,2,27,48
83.222.190.66,100,20630,129,6,medium,0,11,3,26,54
51.38.99.89,100,2926,780,11,low,-3,13,5,26,50
210.183.21.48,100,3584,824,11,low,-17,13,2,29,50
79.110.62.71,100,3209,48,4,medium,-1,12,2,28,52
36.26.94.148,100,69,45,3,medium,0,7,3,28,56
92.47.46.174,100,1207,209,12,low,-3,10,4,26,54
184105247207,100,2776,104,9,none,0,11,2,28,53
193.41.206.156,100,26945,112,6,medium,-1,9,4,27,54
94.159.104.86,100,2451,723,10,medium,-4,9,3,28,54
206.189.236.77,100,1780,602,8,none,-2,10,3,27,54
159.65.127.72,100,4045,862,7,low,-5,15,4,26,49
36137249148,100,2425,700,10,low,-3,12,5,27,50
43.163.6.164,100,365,172,6,low,-1,11,3,26,54
58.216.66.251,100,406,208,10,medium,0,11,3,27,53
14.128.49.62,100,2081,658,11,medium,-3,14,3,26,51
178.33.248.195,100,351,59,4,critical,-1,6,3,29,56
51.68.137.240,100,10261,982,13,none,-6,12,3,27,52
23.94.89.6,100,1639,79,6,medium,-1,9,4,27,54
143244132233,100,6766,944,10,low,-5,13,4,27,50
79137198113,100,1732,30,4,low,0,3,4,29,58
45.76.197.176,100,271,61,4,medium,0,6,3,28,57
142.93.61.0,100,153,50,4,low,-1,6,2,27,59
218.92.0.188,100,4883,99,8,low,-1,13,2,26,53
192.210.149.60,100,3081,725,11,none,-4,11,3,28,52
142.93.252.11,100,185,59,3,low,0,7,2,27,58
2.57.122.193,100,2666,234,16,medium,0,12,2,27,53
172168153130,100,677,98,7,none,0,4,4,29,57
178.33.40.189,100,145,41,4,none,-1,6,3,28,57
172168153146,100,702,113,10,none,-1,5,3,28,58
117.33.169.242,100,1511,581,8,medium,-5,10,4,27,53
47237100187,100,2121,77,7,low,0,9,2,28,55
193163125196,100,4105,70,8,low,0,7,3,29,55
5161114147,100,137,54,3,critical,0,7,3,28,56
61.153.208.38,100,1945,262,23,low,-8,17,3,26,48
51.210.75.243,100,86,47,3,low,0,6,3,29,56
171.248.164.30,100,375,178,6,low,-2,10,3,28,53
220247224226,100,9350,908,7,medium,-5,14,3,27,50
167172133128,100,1774,655,11,low,-2,10,3,27,54
185.242.226.2,100,9624,102,8,low,-1,10,3,29,52
8.211.44.141,100,2012,85,6,low,0,6,3,28,57
59.27.70.175,100,580,252,7,low,-2,8,3,29,54
176.119.28.91,100,145,51,3,high,0,6,4,28,56
14.29.198.130,100,2796,756,13,low,-4,12,5,28,49
172202251209,100,708,103,12,none,0,3,2,29,60
79161138244,100,642,137,14,low,-3,10,4,27,53
185.243.5.55,100,7153,82,7,medium,-2,11,4,27,52
103.151.140.19,100,2034,174,7,medium,-1,10,4,26,54
14.99.254.18,100,6655,941,14,low,-6,16,2,27,49
140.246.61.211,100,934,454,8,medium,-1,11,4,26,53
139.59.124.243,100,796,387,10,low,0,10,4,26,54
98.97.27.144,100,75,52,4,medium,0,6,3,28,57
71.6.134.234,100,7574,274,15,medium,-3,14,3,29,48
180.71.9.57,100,1028,169,14,low,-4,8,3,29,54
165.22.17.157,100,1782,605,10,none,-3,13,4,26,51
146.88.241.62,100,232,45,3,low,-1,10,5,28,51
221195208171,100,1431,219,18,high,-4,15,2,28,49
195.178.110.6,100,23324,1111,12,medium,-6,13,3,27,51
124.136.29.20,100,2012,265,20,medium,-8,13,4,26,51
181.214.147.26,100,1169,588,14,medium,-1,14,3,26,51
101.47.24.170,100,1182,476,10,medium,-3,9,5,27,53
118.193.38.84,100,2184,680,10,low,-3,15,4,26,49
185.196.10.158,100,2382,127,13,medium,0,12,2,26,54
114.216.4.149,100,1770,653,12,high,-4,13,3,28,50
185.113.51.55,100,388,110,10,critical,-3,9,3,28,54
218.56.160.82,100,4910,881,13,low,-16,13,4,27,50
178.174.3.182,100,1041,200,15,critical,-1,12,4,26,52
122165137159,100,1074,182,8,none,-5,13,4,27,50
101.126.91.34,100,1746,621,9,medium,-2,9,5,28,52
172.167.5.155,100,748,178,4,low,-1,5,4,27,58
218.92.0.154,100,2960,74,7,low,0,13,3,25,53
14.103.118.79,100,440,248,10,low,0,11,4,26,53
194.67.193.182,100,903,429,9,medium,-2,12,3,26,53
111.61.176.243,100,314,73,10,low,-2,8,3,28,55
51.210.28.241,100,106,56,3,high,0,6,2,28,58
106.219.68.248,100,218,88,9,low,0,10,3,27,54
206.168.34.147,100,8098,79,8,low,0,8,3,29,54
152.42.232.59,100,666,318,10,low,0,12,4,26,52
51.222.200.58,100,7173,954,15,none,-4,12,3,28,51
51.8.223.89,100,877,150,9,none,-3,6,3,28,57
95.165.65.191,100,5871,941,10,low,-5,8,5,27,54
113.31.113.249,100,355,37,5,low,0,5,3,29,57
101126155149,100,1067,482,9,medium,-3,9,5,26,54
175.178.35.245,100,484,75,7,low,-1,13,2,27,52
159.89.180.37,100,1040,454,5,low,-3,7,4,28,55
103.93.37.178,100,1257,215,19,critical,-7,14,4,27,49
130.44.241.183,100,92,66,8,medium,-2,9,4,27,54
119.200.229.33,100,298,81,14,low,-6,11,3,28,52
189.44.61.166,100,523,145,14,low,0,10,4,26,54
36.95.223.139,100,414,116,9,low,0,10,4,26,54
103150221239,100,141,92,3,medium,-2,7,2,29,56
58.230.236.86,100,1413,238,18,low,-5,13,3,29,49
123.59.195.118,100,2984,802,11,low,-4,14,3,27,50
177.46.125.246,100,1487,533,11,medium,-3,12,4,26,52
200.11.217.124,100,626,273,7,low,-2,10,3,26,55
206.168.34.156,100,8114,77,8,low,0,6,3,28,57
125.124.73.167,100,690,358,9,medium,-3,12,4,26,52
81.211.72.167,100,4790,902,11,low,-4,9,3,28,54
137.184.229.29,100,1803,640,9,low,-1,10,3,27,54
89.160.6.62,100,1260,213,17,low,-6,11,4,28,51
36.103.234.60,100,2587,740,11,medium,-5,10,4,28,52
107170241104,100,7072,984,10,low,-5,12,4,26,52
34.131.203.2,100,5827,921,12,none,-4,12,3,28,51
103233206154,100,2705,686,10,medium,-4,14,3,26,51
166.0.242.122,100,42,30,3,medium,0,5,1,30,58
125124183142,100,639,324,9,medium,-2,12,3,26,53
89.153.62.100,100,758,170,14,medium,-3,11,4,26,53
198.12.86.4,100,7200,984,12,none,-6,11,3,27,53
45.150.33.223,100,1736,601,9,medium,-4,11,2,28,53
77105147237,100,1482,576,10,low,-3,10,4,28,52
2.57.122.190,100,4875,670,19,medium,-55,16,2,27,49
15235143116,100,6434,984,11,none,-5,12,3,26,53
182.44.79.69,100,2632,774,9,medium,-2,15,3,26,50
184105247247,100,7105,168,12,none,-1,13,2,28,51
147.182.145.89,100,4688,876,13,low,-4,11,4,27,52
2.57.122.194,100,4477,583,22,medium,-2,15,2,26,51
64.62.197.160,100,2618,166,13,none,-2,11,3,28,52
176.226.180.65,100,5644,977,10,medium,-4,9,4,27,54
100.29.192.16,100,1070,62,6,none,0,5,3,27,59
100.29.192.42,100,1341,67,8,none,0,4,3,27,60
212.159.71.187,100,2693,745,11,low,-3,12,4,26,52
92.205.20.105,100,366,90,6,low,0,10,3,28,53
27.45.146.126,100,161,70,11,low,0,9,3,28,54
118.36.15.126,100,2288,299,12,low,-2,11,2,28,53
109196143106,100,6721,881,14,medium,-5,16,3,27,48
118.34.167.63,100,443,113,5,low,-2,3,5,27,59
87.120.114.34,100,249,129,7,medium,0,6,3,28,57
181166159232,100,1325,484,9,high,-2,11,4,26,53
206.168.34.163,100,10193,146,12,low,-53,10,3,28,53
104.131.14.208,100,4836,914,10,low,-5,11,5,25,53
218.6.160.15,100,1062,198,16,low,-5,10,4,28,52
218.64.124.15,100,1140,201,19,none,-4,10,4,28,52
223.82.88.108,100,350,82,13,low,-2,9,4,28,53
185.217.0.181,100,2456,83,10,medium,0,21,1,26,46
14.33.96.3,100,1196,214,18,low,-5,10,5,28,51
223.171.91.184,100,187,85,12,low,-5,11,3,28,52
199.45.154.182,100,9431,138,10,low,0,11,3,26,54
211108234111,100,1066,54,10,low,0,7,4,27,56
103125190146,100,134,87,7,low,-1,6,3,29,56
159.223.11.29,100,7660,1034,11,low,-6,11,3,27,53
103.254.194.94,100,219,72,3,medium,0,4,5,29,56
178128233211,100,1038,426,7,none,-2,11,4,26,53
202.165.14.190,100,1099,472,11,medium,-1,12,3,27,52
103.11.195.101,100,4835,892,11,low,-5,12,3,27,52
102.36.53.114,100,126,64,3,medium,0,8,3,27,56
211.253.9.49,100,5967,920,11,low,-4,15,4,27,48
211.253.9.49,100,6071,928,11,low,-4,15,4,27,48
104.195.12.43,100,626,68,9,medium,0,8,2,31,53
113125115203,100,740,374,9,medium,-2,11,4,26,53
149202243136,100,662,156,7,low,0,9,3,26,56
45.148.10.50,100,16028,279,13,medium,-14,10,3,27,54
206.168.34.146,100,8169,74,9,low,0,10,3,27,54
122.156.167.62,100,2969,589,12,low,-4,13,4,26,51
165.154.118.26,100,1772,116,10,low,0,12,3,28,51
154.203.197.56,100,2941,176,13,medium,0,10,4,27,53
198.50.156.92,100,6644,992,10,none,-4,13,3,26,52
218.92.0.156,100,6173,85,5,low,0,11,2,25,56
91.73.195.150,100,546,106,10,medium,-1,11,4,27,52
197.5.145.102,100,6591,943,13,medium,-5,15,3,27,49
36.104.147.6,100,2451,749,12,low,-5,13,4,27,50
167.71.163.147,100,7665,1013,12,low,-5,10,4,28,52
14.128.49.16,100,1802,612,10,medium,-3,9,4,27,54
49.49.231.168,100,411,163,5,low,-1,7,3,29,55
103.160.37.174,100,69,29,5,low,0,7,3,29,55
218.92.0.174,100,6142,124,12,low,-1,16,3,25,50
193.110.157.47,100,1372,141,6,medium,0,9,4,26,55
194.180.49.48,100,1211,115,7,medium,-1,12,2,28,52
185.47.172.95,100,6905,950,11,medium,-6,14,3,27,50
157.66.81.92,100,3920,893,10,medium,-5,9,4,28,53
43.155.169.31,100,343,161,6,low,-1,9,4,26,55
38132109104,100,580,75,6,low,0,7,5,28,54
137.184.19.136,100,2130,675,11,low,-4,14,3,26,51
60.251.36.59,100,392,205,6,none,-2,11,4,28,51
183.6.76.2,100,2643,555,16,low,-2,9,3,28,54
31.202.53.78,100,1038,201,20,low,-8,12,4,27,51
193.163.125.69,100,4212,77,8,low,0,8,2,29,55
8221142108,100,2164,81,7,low,0,8,3,28,55
45.55.235.135,100,1002,419,4,low,-3,9,4,27,54
79.160.128.46,100,801,174,14,medium,-1,11,4,26,53
103.179.111.6,100,6107,954,11,low,-3,13,4,28,49
159.203.33.118,100,1099,464,6,low,-3,13,3,25,53
185.16.39.29,100,4722,80,7,low,-3,13,2,28,51
180167153230,100,5653,916,12,low,-4,9,2,29,54
166.48.74.118,100,180,65,11,medium,-3,6,3,29,56
183.63.103.84,100,2699,737,9,low,-4,11,3,28,52
45.83.244.174,100,178,110,3,medium,0,13,2,28,51
206.168.34.170,100,10206,142,12,low,-2,9,4,26,55
120.27.154.152,100,1185,122,13,low,-1,9,4,29,52
68.183.24.191,100,1125,460,9,low,-3,11,4,26,53
211.106.126.27,100,1315,231,19,low,-6,12,4,28,50
60251196169,100,365,203,8,none,-2,9,3,28,54
128199252176,100,7114,964,10,low,-4,10,4,26,54
153.37.177.219,100,1658,229,18,low,-5,12,3,28,51
47.251.88.12,100,2103,90,7,low,0,8,3,29,54
5.8.11.202,100,8878,350,9,medium,-57,11,4,28,51
124.52.228.215,93,30,23,5,low,0,4,3,29,58
104.248.42.86,100,1666,601,10,low,-2,11,3,25,55
218.92.0.170,100,6178,98,6,low,0,12,2,26,54
64.226.94.253,100,2394,697,12,low,-4,13,3,27,51
206.168.34.143,100,8915,80,9,low,0,9,3,27,55
109206246133,100,200,150,5,medium,-1,7,4,28,55
117.33.153.148,100,733,363,9,medium,-3,10,5,27,52
192.248.66.11,100,109,61,2,medium,-2,10,4,27,53
123.52.202.92,100,1378,230,15,low,-35,11,3,27,53
138.121.120.10,100,3571,115,8,none,0,6,4,28,56
57.151.70.168,100,936,162,10,none,-3,6,2,28,58
103.162.21.61,100,2994,221,9,medium,-2,11,3,27,53
13.65.225.172,100,4054,870,10,low,-4,8,4,27,55
162.240.99.33,100,147,39,5,low,-1,5,3,28,58
134122191252,100,832,371,5,medium,-1,9,4,27,54
83.255.12.107,100,474,158,12,none,-1,10,4,27,53
159223159249,100,2084,684,12,low,-4,14,4,26,50
8219190154,100,379,181,6,low,0,10,3,26,55
78153140223,100,3786,495,14,low,-5,14,3,27,50
161.35.11.52,100,1739,620,11,low,-1,12,3,27,52
102.140.97.134,100,5259,889,12,medium,-5,13,4,27,50
211.240.117.30,100,3462,795,11,critical,-4,14,4,25,51
59.36.160.42,100,1680,588,11,none,-3,11,3,28,52
147182219106,100,1139,475,7,low,-2,9,4,27,54
103.13.206.126,100,1868,579,7,low,-2,8,4,28,54
106.75.74.27,100,568,301,7,low,-2,10,3,28,53
110.4.0.180,100,1318,187,15,low,-5,9,3,28,54
112.28.128.173,100,783,162,16,low,-1,11,3,29,51
161.10.247.113,100,5670,920,13,high,-4,12,5,28,49
51.38.112.61,100,6753,961,10,none,-5,11,4,27,52
88.142.46.185,100,5129,924,12,low,-6,13,3,28,50
185.242.226.49,100,8805,108,7,low,-3,11,2,29,52
162.240.221.77,100,165,43,2,low,-1,6,4,28,56
51.75.64.35,100,6168,951,10,none,-5,15,3,27,49
161.97.171.105,100,249,79,3,low,0,8,3,28,55
103.97.177.91,100,6586,947,12,medium,-5,10,4,27,53
218.92.0.181,100,6257,95,6,low,-2,13,2,26,53
114.29.236.230,100,2768,221,6,medium,-2,13,4,25,52
185.213.164.66,100,825,390,9,medium,-1,10,4,26,54
178128170165,100,87,50,5,low,0,8,3,28,55
178128172225,100,104,49,4,low,-1,8,3,28,55
199.45.155.77,100,1441,234,14,low,0,11,3,28,52
23.137.200.58,100,7278,1033,11,low,-5,14,2,27,51
128.14.117.119,100,6312,954,10,medium,-4,11,3,27,53
51222106104,100,7243,942,12,none,-6,12,3,27,52
45.79.137.13,100,283,56,5,none,0,6,2,30,56
152.228.128.55,100,6568,997,11,low,-4,9,4,27,54
14.63.221.137,100,6259,921,11,high,-5,10,3,28,53
103.102.230.2,100,28914,102,6,medium,-4,9,3,28,54
195.2.81.171,100,306,68,3,unknown,0,8,3,27,56
143.92.58.21,100,4812,954,12,medium,-5,14,3,27,50
220.87.52.76,100,794,254,11,low,-2,10,5,27,52
87.120.126.80,100,6249,106,11,medium,0,11,3,25,55
137.184.230.75,100,3278,824,10,low,-4,12,4,26,52
140.246.122.78,100,106,76,4,medium,0,10,4,26,54
83.251.107.47,100,234,61,6,low,0,8,3,28,55
43.241.132.10,100,6276,938,12,low,-5,12,4,27,51
175206105126,100,1184,177,16,low,-4,9,3,29,53
172169207230,100,854,149,9,none,-1,6,3,26,59
213.64.179.221,100,848,434,12,low,-2,10,4,27,53
45.5.159.34,100,2291,654,22,medium,-9,16,3,27,48
154212141187,100,11019,104,9,medium,-2,11,3,28,52
94.141.120.80,100,113,49,4,medium,0,12,2,27,53
207231110172,100,225,69,11,medium,0,9,3,29,53
165.154.138.85,100,697,146,13,low,0,11,3,28,52
185.242.226.50,100,7625,100,9,low,-1,10,4,28,52
77.81.230.210,100,1136,125,4,low,0,9,3,26,56
206.168.34.131,100,8940,80,9,low,0,7,3,28,56
159.65.220.18,100,7314,958,13,none,-17,13,3,27,51
15.235.2.68,100,5761,922,11,none,-5,15,3,26,50
78.108.177.54,100,1442,79,11,low,0,11,3,27,53
103174130180,100,1139,433,19,medium,-3,18,2,25,49
221.229.218.50,100,3505,836,11,low,-15,14,4,27,49
167.71.183.130,100,1137,481,5,low,-3,11,3,27,53
117.50.51.119,100,2365,710,10,low,-3,12,3,27,52
103182132154,100,5658,961,11,medium,-4,12,3,28,51
219.128.55.182,100,131,66,7,low,0,9,2,28,55
175.118.126.99,100,5547,241,13,low,-14,8,5,27,54
87.139.32.204,100,434,235,10,low,-1,11,4,27,52
156.238.98.179,100,852,396,9,medium,-2,14,3,26,51
193163125104,100,4417,77,6,low,0,7,3,28,56
38.46.33.121,100,134,77,7,medium,0,9,3,27,55
206.168.34.210,100,1624,271,12,low,0,10,3,27,54
218.92.0.147,100,3056,59,5,low,0,11,3,26,54
182.43.232.30,100,1459,546,10,medium,-1,9,5,27,53
103.93.65.66,100,536,95,4,low,-1,5,3,29,57
143.64.168.136,100,3313,823,11,medium,-4,7,4,29,54
175.100.24.139,100,9246,976,11,medium,-5,16,2,28,48
114.217.20.166,100,576,330,7,low,-1,11,3,27,53
202.21.123.124,100,3780,801,11,medium,-16,11,3,28,52
5.42.98.99,100,993,436,10,medium,-2,12,3,27,52
218.78.75.176,100,2489,753,11,low,-4,10,3,29,52
49.160.99.210,100,32,26,5,low,0,7,2,29,56
14.34.157.138,100,6532,968,10,low,-5,8,6,28,52
203.252.10.3,100,1292,239,21,low,-4,16,3,26,49
103.133.214.69,100,6495,992,11,medium,-5,12,3,27,52
165.232.85.203,100,3800,884,7,low,-4,10,3,27,54
187.188.146.58,100,4282,896,8,none,-4,11,4,27,52
101.89.113.198,100,2708,760,12,low,-4,12,4,27,51
155.248.164.42,100,6639,982,11,low,-6,9,3,28,54
122.155.0.205,100,6380,945,12,high,-16,17,1,26,50
218.92.0.179,100,6899,131,8,low,-2,16,2,25,51
120234232184,100,708,126,14,low,-2,6,5,29,54
186117149128,100,4988,843,12,medium,-5,12,4,27,51
42200229102,100,6818,969,11,none,-4,11,3,28,52
111.160.11.78,100,416,97,5,low,0,8,3,27,56
52228167164,100,778,103,8,none,0,2,2,30,60
103.97.132.8,100,6242,959,13,medium,-3,12,3,27,52
167.99.157.155,100,5752,763,16,low,-3,15,3,26,50
43.224.43.190,100,5781,919,10,medium,-5,10,3,27,54
148.252.159.4,100,63,49,4,low,0,5,4,27,58
43.231.207.65,100,302,152,7,medium,-1,11,3,27,53
103.49.238.109,100,822,395,10,critical,-1,12,4,26,52
49.247.37.22,100,1453,567,9,medium,-4,12,3,26,53
91.103.253.62,100,5440,912,11,low,-4,15,3,27,49
213.230.64.246,100,979,160,15,critical,-4,11,4,28,51
24.38.214.194,100,337,123,9,none,-3,14,3,28,49
90.239.30.219,100,5791,628,10,low,-5,10,5,27,52
95174104112,100,1009,154,14,high,-3,5,4,28,57
111172233149,100,746,338,11,medium,-3,12,4,27,51
120.48.42.6,100,1236,534,9,low,-3,10,4,27,53
58.220.29.165,100,2905,776,9,medium,-4,11,4,27,52
185.255.91.186,100,2349,707,9,critical,-3,15,4,26,49
189223197177,100,403,203,5,low,-2,7,4,29,54
104.195.12.40,100,533,63,9,medium,0,8,2,30,54
46101108159,100,6073,949,11,none,-4,14,3,27,50
207231111207,100,7549,1022,11,medium,-3,8,3,29,54
154.216.19.22,100,1358,86,9,medium,-1,12,2,26,54
64.225.17.80,100,7433,982,12,none,-7,14,2,28,50
103.181.142.8,100,1010,422,8,medium,-1,12,3,26,53
91134248249,100,784,142,7,none,-3,8,4,28,54
191.36.153.27,100,1060,205,15,low,-6,11,3,28,52
103114146178,100,2408,695,10,medium,-4,13,3,28,50
125.124.224.47,100,857,410,11,medium,-3,11,4,26,53
78153140224,100,3593,491,14,low,-9,15,2,28,49
115.231.78.12,100,110,60,11,medium,0,10,4,28,52
